"coef","effect"
0.0823992051967268,"QB"
0.0959652681782287,"QB"
0.0951923211873661,"QB"
0.110104063159062,"QB"
0.0993406067905354,"QB"
0.123344495455371,"QB"
0.0960465855869477,"QB"
0.125742236970484,"QB"
0.0917532613041672,"QB"
0.0808136472136511,"QB"
0.0937034334675415,"QB"
0.0886630315442668,"QB"
0.107230263501825,"QB"
0.114396060288935,"QB"
0.0799597640836755,"QB"
0.0828641676248175,"QB"
0.100026086514089,"QB"
0.103427059654974,"QB"
0.0969318082432318,"QB"
0.102745782365911,"QB"
0.111771479628784,"QB"
0.111784975438639,"QB"
0.0939816593389444,"QB"
0.102716011308137,"QB"
0.0920137982787989,"QB"
0.119193071918905,"QB"
0.108745835342191,"QB"
0.102414015146394,"QB"
0.0925674151665789,"QB"
0.111375020454492,"QB"
0.0855931861011451,"QB"
0.0928107787322942,"QB"
0.101099128524633,"QB"
0.0961570724272004,"QB"
0.100754489011142,"QB"
0.0962206922872794,"QB"
0.108248706428269,"QB"
0.105601866995965,"QB"
0.0955470323486913,"QB"
0.0936097270245679,"QB"
0.107258663924835,"QB"
0.107175891744127,"QB"
0.101506037353774,"QB"
0.0887342078112876,"QB"
0.106547183281223,"QB"
0.0933530300759892,"QB"
0.093881360267917,"QB"
0.102300834717914,"QB"
0.0921696694492303,"QB"
0.0784407481225008,"QB"
0.0839709550380917,"QB"
0.0966252648191634,"QB"
0.106798943006846,"QB"
0.0827474511857706,"QB"
0.0843787569102016,"QB"
0.0956557029435363,"QB"
0.0930185742534761,"QB"
0.0852093502290742,"QB"
0.105134223811727,"QB"
0.0953514415678603,"QB"
0.0952741997360618,"QB"
0.114691775249408,"QB"
0.0890366568462739,"QB"
0.0968400885658053,"QB"
0.0741649405959519,"QB"
0.0866895306655025,"QB"
0.0999438078633062,"QB"
0.0885770280968217,"QB"
0.108415590304123,"QB"
0.0961300194652189,"QB"
0.103112155635785,"QB"
0.0744130502610696,"QB"
0.100245693066975,"QB"
0.0971696612363803,"QB"
0.111361266058473,"QB"
0.100284293079627,"QB"
0.0904842702772675,"QB"
0.0880046294713705,"QB"
0.102385955718637,"QB"
0.105254660724513,"QB"
0.110306157934974,"QB"
0.0949234945364626,"QB"
0.115711920669803,"QB"
0.118543417639471,"QB"
0.0966013667383006,"QB"
